source_id,title,publisher,scope,evidence_tier,access_mode,format,primary_url,download_url,ingestion_policy,licence_note,refresh_policy
nccih_ayurveda,Ayurvedic Medicine In Depth,US National Center for Complementary and Integrative Health,"Ayurveda evidence limitations and safety",S,official_page,HTML,https://www.nccih.nih.gov/health/ayurvedic-medicine-in-depth,,link_only,"Use as mandatory safety evidence for Ayurveda outputs",weekly
nccih_herbs,Herbs at a Glance,US National Center for Complementary and Integrative Health,"Evidence and cautions for herbs and botanicals",S,official_page,HTML,https://www.nccih.nih.gov/health/herbsataglance,,link_only,"Do not infer effectiveness beyond the named fact sheet",weekly
nccih_natural_safety,Natural Does Not Necessarily Mean Safer or Better,US National Center for Complementary and Integrative Health,"Natural-remedy safety and claim control",S,official_page,HTML,https://www.nccih.nih.gov/health/know-science/natural-doesnt-mean-better,,link_only,"Mandatory claim-safety context",weekly
nccih_interactions,Herb-Drug Interactions,US National Center for Complementary and Integrative Health,"Herb interaction and contamination risks",S,official_page,HTML,https://www.nccih.nih.gov/health/providers/digest/herb-drug-interactions,,link_only,"Safety-only; no medication modification advice",weekly
nice_headache,Headaches in Over 12s Diagnosis and Management CG150,National Institute for Health and Care Excellence,"Headache assessment; red flags; management boundaries",A,official_page,PDF,https://www.nice.org.uk/guidance/cg150,https://www.nice.org.uk/guidance/cg150/resources/headaches-in-over-12s-diagnosis-and-management-pdf-35109624582853,link_only,"NICE copyright applies; link/retrieve only under applicable terms; do not redistribute",monthly
nice_dyspepsia,Gastro-Oesophageal Reflux Disease and Dyspepsia in Adults CG184,National Institute for Health and Care Excellence,"Adult dyspepsia; escalation and clinical boundaries",A,official_page,HTML/PDF,https://www.nice.org.uk/guidance/cg184,,link_only,"NICE copyright applies; do not redistribute; exclude prescribing/dosage from MedicoBuddy output",monthly
nice_acne,Acne Vulgaris Management NG198,National Institute for Health and Care Excellence,"Acne assessment; skin-care boundaries and referral",A,official_page,PDF,https://www.nice.org.uk/guidance/ng198,https://www.nice.org.uk/guidance/ng198/resources/acne-vulgaris-management-pdf-66142088866501,link_only,"NICE copyright applies; link/retrieve only under applicable terms; exclude prescriptions",monthly
cdc_water,About Water and Healthier Drinks,US Centers for Disease Control and Prevention,"Hydration and preventive health",B,official_page,HTML,https://www.cdc.gov/healthy-weight-growth/water-healthy-drinks/index.html,,link_only,"Retain page date; avoid universal fluid-volume advice for restricted populations",weekly
cdc_sleep,About Sleep,US Centers for Disease Control and Prevention,"Sleep duration and sleep-health basics",B,official_page,HTML,https://www.cdc.gov/sleep/about/index.html,,link_only,"Retain page date and age group",weekly
cdc_activity,Physical Activity and Your Weight and Health,US Centers for Disease Control and Prevention,"General adult physical-activity guidance",B,official_page,HTML,https://www.cdc.gov/healthy-weight-growth/physical-activity/index.html,,link_only,"Apply population and contraindication filters",weekly
us_activity_guideline,Physical Activity Guidelines for Americans Second Edition,US Department of Health and Human Services,"Preventive physical activity",A,download,PDF,https://health.gov/our-work/nutrition-physical-activity/physical-activity-guidelines/current-guidelines,https://www.cdc.gov/physical-activity/media/pdfs/Physical_Activity_Guidelines_2nd_edition.pdf,download_allowed,"US Government publication; retain provenance",annual
aad_hair,Tips for Healthy Hair,American Academy of Dermatology,"General hair-care practices and prevention",B,official_page,HTML,https://www.aad.org/public/everyday-care/hair-scalp-care/hair/healthy-hair-tips,,link_only,"AAD copyright applies; link and summarize within applicable terms",weekly
aad_skin,Basic Skin Care,American Academy of Dermatology,"General skin-care and sun-protection practices",B,official_page,HTML,https://www.aad.org/public/everyday-care/skin-care-basics/care,,link_only,"AAD copyright applies; link and summarize within applicable terms",weekly
fda_health_fraud,Health Fraud Product Database,US Food and Drug Administration,"Unapproved products; hidden ingredients; cure-claim blocking",S,official_page,HTML,https://www.fda.gov/consumers/health-fraud-scams/health-fraud-product-database,,link_only,"Use for product-risk alerts; absence from database does not establish safety",daily
ccras_science_life,Ayurveda The Science of Life Dossier,Central Council for Research in Ayurvedic Sciences Ministry of AYUSH Government of India,"Ayurveda principles and preventive context",T,download,PDF,https://ccras.nic.in/,https://ccras.nic.in/wp-content/uploads/2024/07/AYURVEDA_The_Science_of_LifeDossier.pdf,download_allowed,"Traditional-context lane; cross-check every actionable claim against contemporary evidence and safety",annual
ccras_health_promotion,Ayurvedic Advocacy for Health Promotion,Central Council for Research in Ayurvedic Sciences Ministry of AYUSH Government of India,"Traditional diet lifestyle and home-remedy claims",T,download,PDF,https://ccras.nic.in/,https://ccras.nic.in/wp-content/uploads/2024/07/Ayurvedic-Advocacy-for-Health-Promotion.pdf,download_allowed_restricted,"Do not surface internal remedies dosages nasal instillation disease treatment or cure claims; traditional-context only",annual
ccras_skin_lifestyle,Ayurveda Based Diet and Lifestyle Guidelines for Prevention and Management of Skin Diseases,Central Council for Research in Ayurvedic Sciences Ministry of AYUSH Government of India,"Traditional skin-health context",T,download,PDF,https://ccras.nic.in/,https://ccras.nic.in/wp-content/uploads/2024/06/Ayurveda-Based-diet-lifeStyle-Guidelines-Skin-Diseases.pdf,download_allowed_restricted,"Traditional-context only; exclude internal medicines procedures and unsupported efficacy claims",annual
